DatePosted,Origin,OriginAirport,Destination,DestinationAirport,RegularPrice,SalePrice,DiscountRate,FlightDate,BookingLink
2019-08-27-17-08,Atlanta,ATL,Paris,CDG,822,488,59.37,"Mon, 21 Oct - Tue, 29 Oct",https://www.google.com/flights#flt=ATL./m/05qtj.2019-10-21*/m/05qtj.ATL.2019-10-29;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-09,Atlanta,ATL,Rome,FCO,719,503,69.96,"Thu, 28 Nov - Sat, 7 Dec",https://www.google.com/flights#flt=ATL./m/06c62.2019-11-28*/m/06c62.ATL.2019-12-07;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-09,Atlanta,ATL,Lisbon,LIS,1085,529,48.76,"Thu, 5 Dec - Wed, 11 Dec",https://www.google.com/flights#flt=ATL./m/04llb.2019-12-05*/m/04llb.ATL.2019-12-11;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-09,Atlanta,ATL,Copenhagen,CPH,809,561,69.34,"Fri, 15 Nov - Thu, 21 Nov",https://www.google.com/flights#flt=ATL./m/01lfy.2019-11-15*/m/01lfy.ATL.2019-11-21;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-09,Atlanta,ATL,Florence,FLR,746,510,68.36,"Sat, 25 Jan - Sat, 1 Feb",https://www.google.com/flights#flt=ATL./m/031y2.2020-01-25*/m/031y2.ATL.2020-02-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-10,Atlanta,ATL,Budapest,BUD,919,571,62.13,"Mon, 4 Nov - Mon, 11 Nov",https://www.google.com/flights#flt=ATL./m/095w_.2019-11-04*/m/095w_.ATL.2019-11-11;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-10,Atlanta,ATL,Stockholm,ARN,970,580,59.79,"Fri, 15 Nov - Fri, 22 Nov",https://www.google.com/flights#flt=ATL./m/06mxs.2019-11-15*/m/06mxs.ATL.2019-11-22;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-10,Atlanta,ATL,Nice,NCE,766,503,65.67,"Fri, 25 Oct - Sun, 3 Nov",https://www.google.com/flights#flt=ATL./m/0cp6w.2019-10-25*/m/0cp6w.ATL.2019-11-03;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-10,Atlanta,ATL,Naples,NAP,794,504,63.48,"Thu, 9 Jan - Wed, 15 Jan",https://www.google.com/flights#flt=ATL./m/0fhsz.2020-01-09*/m/0fhsz.ATL.2020-01-15;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-11,Atlanta,ATL,Zagreb,ZAG,1099,571,51.96,"Mon, 4 Nov - Wed, 13 Nov",https://www.google.com/flights#flt=ATL./m/0fhzy.2019-11-04*/m/0fhzy.ATL.2019-11-13;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-11,Atlanta,ATL,Warsaw,WAW,1092,553,50.64,"Thu, 7 Nov - Sat, 16 Nov",https://www.google.com/flights#flt=ATL./m/081m_.2019-11-07*/m/081m_.ATL.2019-11-16;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-11,Atlanta,ATL,Malta,MLA,799,554,69.34,"Sat, 18 Jan - Sun, 26 Jan",https://www.google.com/flights#flt=ATL./m/04v3q.2020-01-18*/m/04v3q.ATL.2020-01-26;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-11,Atlanta,ATL,Genoa,GOA,1631,574,35.19,"Thu, 5 Dec - Wed, 11 Dec",https://www.google.com/flights#flt=ATL./m/0hknf.2019-12-05*/m/0hknf.ATL.2019-12-11;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-12,Atlanta,ATL,Pisa,PSA,748,512,68.45,"Sat, 25 Jan - Sun, 2 Feb",https://www.google.com/flights#flt=ATL./m/064xp.2020-01-25*/m/064xp.ATL.2020-02-02;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-12,Atlanta,ATL,Porto,OPO,871,552,63.38,"Sat, 9 Nov - Fri, 15 Nov",https://www.google.com/flights#flt=ATL./m/0pmn7.2019-11-09*/m/0pmn7.ATL.2019-11-15;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-12,Atlanta,ATL,Ljubljana,LJU,1090,577,52.94,"Fri, 8 Nov - Thu, 14 Nov",https://www.google.com/flights#flt=ATL./m/0bmm4.2019-11-08*/m/0bmm4.ATL.2019-11-14;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-12,Atlanta,ATL,Lyon,LYS,975,516,52.92,"Sun, 3 Nov - Sat, 9 Nov",https://www.google.com/flights#flt=ATL./m/0dprg.2019-11-03*/m/0dprg.ATL.2019-11-09;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-12,Atlanta,ATL,Larnaca,LCA,1658,569,34.32,"Mon, 2 Dec - Sun, 8 Dec",https://www.google.com/flights#flt=ATL./m/01q7yl.2019-12-02*/m/01q7yl.ATL.2019-12-08;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-13,Atlanta,ATL,Bologna,BLQ,737,507,68.79,"Fri, 24 Jan - Sat, 1 Feb",https://www.google.com/flights#flt=ATL./m/096g3.2020-01-24*/m/096g3.ATL.2020-02-01;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-13,Atlanta,ATL,Bordeaux,BOD,1062,600,56.50,"Mon, 25 Nov - Wed, 4 Dec",https://www.google.com/flights#flt=ATL./m/01b85.2019-11-25*/m/01b85.ATL.2019-12-04;c:USD;e:1;p:65000.2.USD;sd:1;t:f
2019-08-27-17-13,Atlanta,ATL,Toulouse,TLS,1365,559,40.95,"Sun, 1 Dec - Tue, 10 Dec",https://www.google.com/flights#flt=ATL./m/0cbhh.2019-12-01*/m/0cbhh.ATL.2019-12-10;c:USD;e:1;p:65000.2.USD;sd:1;t:f
